"LLM","Dataset","Pass@k","Success","Partial Success","Failure","Coverage"
"GPT-4o-mini","MBPP","Pass@1","47.8","48.6","3.6","99.8"
"GPT-4o-mini","MBPP","Pass@2","47.9","49.5","2.6","99.7"
"GPT-4o-mini","MBPP","Pass@3","48","50","2","99.7"
"DeepSeek-v3","MBPP","Pass@1","70.2","22.2","7.6","99.9"
"DeepSeek-v3","MBPP","Pass@2","74.2","23.9","1.8","99.9"
"DeepSeek-v3","MBPP","Pass@3","74.5","23.9","1.5","99.9"
"GPT-4o-mini","HumanEval","Pass@1","47","51.2","1.8","99.8"
"GPT-4o-mini","HumanEval","Pass@2","47","51.8","1.2","99.8"
"GPT-4o-mini","HumanEval","Pass@3","47","52.4","0.6","99.8"
"DeepSeek-v3","HumanEval","Pass@1","71.3","27.4","1.2","99.8"
"DeepSeek-v3","HumanEval","Pass@2","71.3","28","0.6","99.8"
"DeepSeek-v3","HumanEval","Pass@3","71.3","28","0.6","99.8"
