"LLM","Dataset","Output Used for Retry","Pass@k","Retry-0","Retry-1","Retry-2","Retry-3","Retry-4","Retry-5","Success","Failure","Coverage"
"GPT-4o-mini","MBPP","No","Pass@1","45.8","12.4","2.8","1.2","0.5","37.4","96.2","3.8","96"
"GPT-4o-mini","MBPP","No","Pass@2","45.5","12.3","2.9","1.1","0.5","37.6","98.3","1.7","96.1"
"GPT-4o-mini","MBPP","No","Pass@3","45.5","12.2","3","1.1","0.5","37.6","98.5","1.5","96.1"
"GPT-4o-mini","MBPP","Yes","Pass@1","44.2","26.7","3.8","1.3","0.2","23.8","96.2","3.8","99.3"
"GPT-4o-mini","MBPP","Yes","Pass@2","43.7","26.8","3.9","1.3","0.2","24.2","98.3","1.7","99.3"
"GPT-4o-mini","MBPP","Yes","Pass@3","43.6","26.6","3.9","1.4","0.2","24.4","98.5","1.5","99.3"
"DeepSeek-v3","MBPP","No","Pass@1","70.1","9.6","2.3","1.1","0.3","16.6","97.6","2.4","97.5"
"DeepSeek-v3","MBPP","No","Pass@2","70.2","9.5","2.3","1","0.3","16.6","98.3","1.7","97.6"
"DeepSeek-v3","MBPP","No","Pass@3","70.1","9.6","2.3","1","0.4","16.6","98.5","1.5","97.6"
"DeepSeek-v3","MBPP","Yes","Pass@1","67.9","14.5","1.8","0.5","0.3","14.9","96.3","3.7","99.7"
"DeepSeek-v3","MBPP","Yes","Pass@2","68.2","14.1","1.8","0.5","0.3","15.1","98.9","1.1","99.7"
"DeepSeek-v3","MBPP","Yes","Pass@3","68.2","14.1","1.8","0.5","0.3","15.1","99","1","99.7"
"GPT-4o-mini","HumanEval","No","Pass@1","47.5","17.7","2.5","0","0","32.3","96.3","3.7","99.4"
"GPT-4o-mini","HumanEval","No","Pass@2","46.9","17.5","2.5","0","0","33.1","97.6","2.4","99.3"
"GPT-4o-mini","HumanEval","No","Pass@3","46.9","17.5","2.5","0","0","33.1","97.6","2.4","99.3"
"GPT-4o-mini","HumanEval","Yes","Pass@1","49.1","23.9","1.9","1.3","0.6","23.3","97","3","99.1"
"GPT-4o-mini","HumanEval","Yes","Pass@2","47.9","24.5","1.8","1.8","0.6","23.3","99.4","0.6","99.1"
"GPT-4o-mini","HumanEval","Yes","Pass@3","47.9","24.5","1.8","1.8","0.6","23.3","99.4","0.6","99.1"
"DeepSeek-v3","HumanEval","No","Pass@1","60.9","16.8","3.1","1.9","0.6","16.8","98.2","1.8","98.6"
"DeepSeek-v3","HumanEval","No","Pass@2","60.7","16.6","3.1","1.8","0.6","17.2","99.4","0.6","98.5"
"DeepSeek-v3","HumanEval","No","Pass@3","60.7","16.6","3.1","1.8","0.6","17.2","99.4","0.6","98.5"
"DeepSeek-v3","HumanEval","Yes","Pass@1","63","23.5","2.5","0","0","11.1","98.8","1.2","99.8"
"DeepSeek-v3","HumanEval","Yes","Pass@2","62.6","23.9","2.5","0","0","11","99.4","0.6","99.8"
"DeepSeek-v3","HumanEval","Yes","Pass@3","62.6","23.9","2.5","0","0","11","99.4","0.6","99.8"
